,status,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,Year,Month,prone_to_calamity,price
829,for_sale,7,3,0.09,Dorado,Puerto Rico,949,1192,6/28/2019,2019,June,0,110000
3380,for_sale,7,3,0.09,Dorado,Puerto Rico,949,1192,6/28/2019,2019,June,0,110000
5083,for_sale,7,3,0.09,Dorado,Puerto Rico,949,1192,6/28/2019,2019,June,0,110000
5387,for_sale,7,3,0.09,Dorado,Puerto Rico,949,1192,6/28/2019,2019,June,0,110000
9053,for_sale,7,3,0.09,Dorado,Puerto Rico,949,1192,6/28/2019,2019,June,0,110000
10344,for_sale,5,4,0.99,Saint Thomas,Virgin Islands,802,5000,10/11/2013,2013,October,0,950000
10351,for_sale,4,6,0.83,Saint Thomas,Virgin Islands,802,4600,4/5/2018,2018,April,0,6899000
10722,for_sale,4,6,0.83,Saint Thomas,Virgin Islands,802,4600,4/5/2018,2018,April,0,6899000
10756,for_sale,4,6,0.83,Saint Thomas,Virgin Islands,802,4600,4/5/2018,2018,April,0,6899000
11196,for_sale,7,3,0.09,Dorado,Puerto Rico,949,1192,6/28/2019,2019,June,0,110000
11334,for_sale,5,4,0.99,Saint Thomas,Virgin Islands,802,5000,10/11/2013,2013,October,0,950000
11371,for_sale,5,4,0.99,Saint Thomas,Virgin Islands,802,5000,10/11/2013,2013,October,0,950000
12408,for_sale,7,3,0.09,Dorado,Puerto Rico,949,1192,6/28/2019,2019,June,0,110000
15134,for_sale,7,3,0.09,Dorado,Puerto Rico,949,1192,6/28/2019,2019,June,0,110000
18682,for_sale,7,3,0.09,Dorado,Puerto Rico,949,1192,6/28/2019,2019,June,0,110000
18758,for_sale,7,3,0.09,Dorado,Puerto Rico,949,1192,6/28/2019,2019,June,0,110000
18855,for_sale,7,3,0.09,Dorado,Puerto Rico,949,1192,6/28/2019,2019,June,0,110000
18883,for_sale,7,3,0.09,Dorado,Puerto Rico,949,1192,6/28/2019,2019,June,0,110000
18897,for_sale,7,3,0.09,Dorado,Puerto Rico,949,1192,6/28/2019,2019,June,0,110000
18904,for_sale,7,3,0.09,Dorado,Puerto Rico,949,1192,6/28/2019,2019,June,0,110000
18920,for_sale,7,3,0.09,Dorado,Puerto Rico,949,1192,6/28/2019,2019,June,0,110000
18935,for_sale,7,3,0.09,Dorado,Puerto Rico,949,1192,6/28/2019,2019,June,0,110000
19090,for_sale,7,3,0.09,Dorado,Puerto Rico,949,1192,6/28/2019,2019,June,0,110000
